sigma,other,duration,p0_c,p0_b,lo_c,lo_b,hi_c,hi_b,cs,bs,error,time_total
R,A,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.477810159688624,0.24799829158429465,0.0002123291852382327,0.0016071
R,B,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.4175889790058136,0.22884583145380266,0.0724219495519763,0.011014601
R,R,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.85003662109375,0.3263241577148436,0.3772891074571441,0.005189501
R,L1,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.4780564699321985,0.24811785412021073,0.00020435742908781352,0.184779099
R,L12,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.477810159688624,0.24799829158429465,0.00021116898536509122,1.507339
L1,A,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7998088631647988,0.2999436441046418,5.786926297430424e-7,0.0013315
L1,B,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7012123766153309,0.275024319843329,0.026240487145510905,0.014144899
L1,R,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,2.1908147633075714,0.3513633698225007,0.038762569017772065,0.010508399
L1,L1,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.799944868224003,0.29996351993054493,1.1544108696152645e-8,0.217013201
L1,L12,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7998088631647988,0.2999436441046418,3.459923676294333e-7,1.246977301
L12,A,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7999861019000505,0.29999393254999485,2.929002523033771e-7,0.0026736
L12,B,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.7081756591796875,0.27969879150390603,0.044684157517009444,0.0073339
L12,R,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,2.191264793276787,0.3515032532811151,0.04058922225936209,0.008064299
L12,L1,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.8007354313181168,0.3003266503131563,5.893048439234247e-7,0.1885379
L12,L12,6.111111111111111,2.0,0.7,0.0,0.01,100.0,0.99,1.80000809681925,0.30000385618924863,1.0067474764797128e-10,1.7669397
A,A,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8006914854049683,0.30033489465713614,1.00089871672422e-6,0.001270499
A,B,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.6733970642089844,0.2600385284423829,0.4825448789170392,0.0068761
A,R,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,2.184706211090088,0.34810304403305087,0.058297536112864916,0.0067082
A,L1,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8004379272460938,0.30019084930420037,5.577220020418102e-7,0.2040926
A,L12,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.7999924032837953,0.29999640885815226,2.486343273915366e-7,2.176171
B,A,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.922312127193436,0.3275791398692006,0.00036741930949321454,0.0015942
B,B,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.7997267842292786,0.2998982608318322,4.5156391149644615e-5,0.0073827
B,R,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,2.328330924065085,0.37403292693837975,0.224012314761835,0.008976901
B,L1,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.922312127193436,0.3275791398692006,0.0003810643957179231,0.198730001
B,L12,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.922312127193436,0.3275791398692006,0.0003687686762557165,1.2637245
R,A,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.4812307794573387,0.25090195092678735,0.00026072657546879075,0.0021553
R,B,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.4209505996516851,0.23299963644509905,0.10601711045149755,0.014156499
R,R,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8005523681640625,0.30023384094238403,5.460404043408011e-5,0.0076896
R,L1,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.4812944701661763,0.25091631874282583,0.00025260942859719863,0.3137231
R,L12,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.480870942803449,0.2506969530211119,0.00025995634567995004,1.934168099
L1,A,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8007354736328125,0.3003385162353527,2.1394831509208837e-6,0.0012309
L1,B,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.6733970642089844,0.2600385284423829,0.47954039722116865,0.0064289
L1,R,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,2.1864398668622016,0.3487611035013469,0.05502654423457417,0.011024901
L1,L1,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8006914854049683,0.30033489465713614,9.997961160893188e-7,0.2149239
L1,L12,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8007354736328125,0.3003385162353527,1.9276101577555617e-6,1.242504001
L12,A,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8006914854049683,0.30033489465713614,1.260392831477686e-6,0.0015395
L12,B,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.6733970642089844,0.2600385284423829,0.4825897591482066,0.0059747
L12,R,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,2.184706211090088,0.34810304403305087,0.05794036118219004,0.0063097
L12,L1,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8004379272460938,0.30019084930420037,3.6367009721786863e-7,0.197331201
L12,L12,7.222222222222222,2.0,0.7,0.0,0.01,100.0,0.99,1.8006914854049683,0.30033489465713614,1.0008928486855113e-6,1.434293999
A,A,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.800417767932607,0.30018090303491884,3.9086349220650706e-7,0.0019721
A,B,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7055020332336426,0.27891139030456735,0.048879804416105094,0.0286878
A,R,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,2.1808624267578125,0.34619750976562436,0.07774437450820174,0.006727699
A,L1,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7995163754238437,0.29983182648638984,1.4697394384574833e-6,0.344985
