sigma,other,duration,p0_c,p0_b,lo_c,lo_b,hi_c,hi_b,cs,bs,error,time_total
L12,R,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,2.164770720604338,0.34016054304492344,0.19415605585795392,0.012166301
L12,L1,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.8001153217356283,0.3000296100812163,1.7852532388994737e-7,0.8903477
L12,L12,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.799981929917906,0.2999947140350967,8.211615000081355e-10,6.1901806
A,A,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.800005898991003,0.300001256779976,2.897611850409825e-10,0.004421699
A,B,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.7151431851780217,0.28416200318438983,0.14353067893495045,0.0210847
A,R,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,2.1667226527351886,0.3404203048249412,0.24932180195063228,0.0114513
A,L1,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.8001217211713083,0.300032106292199,2.690650879144057e-7,1.2310536
A,L12,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.7999941403977573,0.2999964687600706,1.3315576442101984e-7,7.7430208
B,A,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.8981933979666792,0.3171637931745503,0.0006338168433797447,0.002766399
B,B,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.7997739799320698,0.29992745615541877,5.828482838666557e-5,0.033162701
B,R,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,2.279461910276268,0.35632878448711985,0.8553337890193586,0.0133359
B,L1,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.8983323250431567,0.31719668719917565,0.0006506576148944253,0.9385544
B,L12,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.8981933979666792,0.3171637931745503,0.0006346892395992408,6.589412901
R,A,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.4987135748233413,0.260762708963882,0.0006015562770125402,0.0033539
R,B,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.4436511993408203,0.24831769943237353,0.46989630540844135,0.0080302
R,R,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.8004648686037399,0.3001600861611933,0.00026919111499974785,0.011589701
R,L1,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.4997960575856268,0.26117672576568773,0.0005959169999642563,0.837783001
R,L12,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.4987135748233413,0.260762708963882,0.0006008736598152449,5.8812796
L1,A,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.801383662968874,0.3004317714180779,7.355637465431862e-6,0.0021973
L1,B,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.7150451707875618,0.2841366205222924,0.14708225295910438,0.0153218
L1,R,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,2.160863151308149,0.3389930970262437,0.22837695444505304,0.0148783
L1,L1,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.800005898991003,0.300001256779976,2.8968848378310646e-10,1.2231348
L1,L12,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.801383662968874,0.3004317714180779,7.240521553722564e-6,5.2138714
L12,A,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.800005898991003,0.300001256779976,1.299174644281464e-7,0.0035149
L12,B,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.7151431851780217,0.28416200318438983,0.1437208753479559,0.015171601
L12,R,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,2.1667226527351886,0.3404203048249412,0.2489466406609063,0.010158601
L12,L1,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.8001126947347075,0.30002872914541295,1.6569297341016129e-7,1.2221906
L12,L12,13.88888888888889,2.0,0.7,0.0,0.01,100.0,0.99,1.800005898991003,0.300001256779976,2.8976114009821064e-10,8.2795846
A,A,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8001863489625975,0.30004714678274214,1.2501178778316566e-7,0.003297601
A,B,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.6945826262235641,0.2777969883382317,0.8232716383788452,0.014363499
A,R,15.0,2.0,0.7,0.0,0.01,100.0,0.99,2.1576438165820946,0.3380221467735459,0.2773438005987534,0.034360699
A,L1,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7981630563735962,0.29949690818786756,1.1367005376314255e-5,1.120742801
A,L12,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8001863489625975,0.30004714678274214,2.4324007574812285e-7,8.068014
B,A,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8960210271179676,0.3164239840582008,0.0006838759264899226,0.0031149
B,B,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8003404960036278,0.300107067450881,0.00016247282432914223,0.012342
B,R,15.0,2.0,0.7,0.0,0.01,100.0,0.99,2.272167682647705,0.35431872367858813,1.0066576018288822,0.020371601
B,L1,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8959428396774456,0.3164058603090223,0.0007002909871759855,1.3666265
B,L12,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8960210271179676,0.3164239840582008,0.0006846942304032487,7.2707177
R,A,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4999461111146957,0.2613772723136933,0.0006737983485340282,0.0024691
R,B,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4460978361894377,0.24956632582761695,0.5610711267278732,0.0153596
R,R,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7999540298106922,0.29998784838979686,1.590331268023719e-6,0.016644599
R,L1,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4999461111146957,0.2613772723136933,0.000665443602612723,0.9047022
R,L12,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.4999461111146957,0.2613772723136933,0.0006731596930716521,6.0832297
L1,A,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7994918352924287,0.2998521737847452,8.326688417402051e-7,0.0036416
L1,B,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.6945826262235641,0.2777969883382317,0.8217370182209724,0.0094566
L1,R,15.0,2.0,0.7,0.0,0.01,100.0,0.99,2.1574907807407726,0.33798974117860725,0.27239980874893327,0.0136819
L1,L1,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8001863489625975,0.30004714678274214,1.249539160662229e-7,1.205232101
L1,L12,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7994918352924287,0.2998521737847452,7.397981126756239e-7,7.9825994
L12,A,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8001863489625975,0.30004714678274214,2.4622536137888663e-7,0.0029504
L12,B,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.6945826262235641,0.2777969883382317,0.8233982178357079,0.010702601
L12,R,15.0,2.0,0.7,0.0,0.01,100.0,0.99,2.1576438165820946,0.3380221467735459,0.27695773006648766,0.016650401
L12,L1,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.7981630563735962,0.29949690818786756,1.1257097718501494e-5,1.165718599
L12,L12,15.0,2.0,0.7,0.0,0.01,100.0,0.99,1.8001863489625975,0.30004714678274214,1.2501174348234307e-7,8.0656662
